Annotation,Explanation
"That’s a pretty fuckin’ fast year flew by
 That’s a pretty long third gear in this car
 Glidin’ on the 5","Frank juxtaposes a “fast year” with a “long third gear""—he’s been with this person for a year and although the year went by quickly, the days seem to last forever.

Cars with a manual transmission allow you to stay in a gear for a long period of time (usually third gear) before you have to shift to the next gear. When this happens it feels like you’re just gliding on the road.



“The five” is the Interstate 5, a major highway running north-south through Los Angeles and the rest of California."
"Sometimes you’ll miss it
 And the sound will make you cry
 And some nights, you’re dancing
 With tears in your eyes","Frank performed this alternate version of the bridge at FYF Fest 2017 in Exposition Park, Los Angeles. It’s been one of the few times he’s performed live since his critically-acclaimed album Blonde had been released.

The lyrics are extremely similar to the beginning of Verse 2.

https://youtu.be/RBO7Ud4DeV8?t=142

You can also subtly hear this in the background of the studio version of the song, in a muffled voice."
"Poolside convo about your summer last night, ooh yeah
 About your summer last night
 Ain’t give you no play, mmm
 Could I make you shive last night?
 Could I make you shy on the last night, last night?","Here, Frank details the swiftness with which the two parties in the song developed a relationship. This is perhaps not the ideal setting for facilitating a truly successful relationship, and as the next verse suggests, drugs may have been involved.  (Drug use might be another reason for high-pitch vocals.)

The short intro sets the tone for the rest of the song, as it turns out that their relationship was not made to last, and the two realize they were not made for each other.

Frank sounds like he’s talking to a friend of a friend who’s just in town for a couple of days, asking them “So, how’s your summer?” while wondering if something will happen between them before they both leave.

“Shive” is New Orleans street slang. It means “cool”, “tight”, or “fly”. In this context, possible meanings could mean to give someone a good time, “We could’ve had a good time last night.”"
[Intro: Frank Ocean],This intro features a high-pitch vocal effect Frank uses throughout the album. The squeaky voice suggests Frank is reminiscing about events that happened in his youth. He might be looking back on spending time poolside with his love.
"Noses on a rail, little virgin wears the white","This line continues on the theme of Frank  being more experienced than his lover. The phrase “noses on the rail” refers to a rail of cocaine, another name for a line. So Frank referring to his lover as a virgin may not just reference sexual virginity, but also a lack of past drug use, further highlighting the differences between them in their life experiences

Frank makes a double entendre as virgins are associated with the color white because white is known as a symbol of purity and innocence."
Could we make it in? Do we have time?,"The recording speeds up with these lines, suggesting that the answer is a foregone conclusion and that the relationship does not have time. Frank is ultimately sexually attracted to this person and wants to know if they have time to have sex.

The idea that they have a limited amount of time—for sex or other activities—possibly implies that Frank knows that their relationship is coming to an imminent end."
"Now and then, you miss it, sounds make you cry
 Some nights, you dance with tears in your eyes","Music, especially Frank Ocean’s, can definitely elicit the level of emotion that brings someone to tears (see: Pink Matter).

In this case, the music is making Frank’s lover nostalgic for their time together.

Apparently, boys do cry (though the magazine released alongside Blonde suggests otherwise)."
"Wish I was there, wish we’d grown up on the same advice
 And our time was right","This refers to common reasons for the dissolution of relationships: bad timing, lack of effort, and opposing worldviews.

Continuing to contrast maturity levels, Frank expresses disappointment that they did not grow up with similar ideologies. Their relationship did not work out because of their different backgrounds and how it shaped them."
"You cut your hair, but you used to live a blonded life","“Blonded” here sounds strikingly similar to “blinded.” Perhaps tying this song to the title of the album, and the title to larger themes of carelessness and innocence that has been lost. Both blonde hair and overly long hairstyles have stereotypes surrounding them (blondes are thoughtless, long haired people are careless and/or hippies). Cutting that hair could symbolize growing out of that phase, or distancing themselves from that time.

This may be a reference to the story of Samson in the bible, who, after his hair was cut, lost his strength and was blinded after the Philistines gouged out his eyes.

This may also refer to Frank’s ex, Willy Cartier. Cartier is a French model with signature long hair.



The two dated for a bit in 2012 but the relationship didn’t last—his song feels like an ode to the two of them & their brief past together



It’s unclear whether Cartier actually cut his hair short."
"I, I, I know you gotta leave, leave, leave
 Take down some summertime
 Give up, just tonight, ’night, ’night
 I, I, I know you got someone comin’
 You’re spittin’ game, know you got it
 I, I, I know you gotta leave, leave, leave
 Take down some summertime
 Give up, just tonight, ’night, ’night
 I, I, I know you got someone comin’
 You’re spittin’ game, know you got it (Yeah)
 I, I, I know you gotta leave, leave, leave
 Take down some summertime
 Give up, just tonight, ’night, ’night
 I, I, I know you got someone comin’
 You’re spittin’ game, know you got it","Frank knows this person has options but he still wants to be with them. He can’t control himself around them and wants to be their #1 for at least that night.

Throughout the whole outro Frank repeats the words “I,” “Leave,” “Tonight,” all three times,  explaining to his ex that he understands he cannot stay any longer and will leave tonight. This conveys the same surrendering message that Frank wants to give to his ex throughout the outro and whole song.

A distorted sample can be heard throughout this segment, seemingly saying “Come back, Aaliyah,” most likely a reference to the R&B legend herself. Cause of death being a 2001 plane crash, Frank pays homage to the singer by covering her version of “At Your Best (You Are Love)”, originally written by the Isley Brothers, as a part of his Endless album."
"I came to visage ’cause you see me like a UFO
 That’s like never, ’cause I made you use your self-control
 And you made me lose my self-control, my self-control","Any fan of Frank Ocean’s could tell you that he can be somewhat hard to pin down when you’re trying to make plans with him. This person sees Frank so little that it’s like glimpsing an Unidentified Flying Object—an unreal, once-in-a-lifetime occurrence. “U.F.O.” could also stand for his initials: “Unidentified Frank Ocean”.

Frank implies that the reason for their not seeing each other is that they need to execute self control – they realize they can’t be together in the end, so they know it’s for the better to stop seeing each other. While Frank made his lover execute their self control to refrain from visiting him, Frank lost his own self control and came to visit. This, of course, inspires the title of the song.

In later lines, Frank cryptically gives another reason for his infrequent visits, hinting that his lover already has somebody."
"Said if I was in NY, I should look you up","New York is the site where Frank and this other person meet up. In terms of LGTBQ+ relations, New York is largely known for the Stonewall riots in Greenwich Village within Lower Manhattan; Lower Manhattan later becomes the location where Frank’s Homer brand store is established."
"Here’s to a good guy, he hooked it up",Frank mentions how a “good guy” who is likely a friend of his was able to find someone that might be interested in pursuing a romantic relationship with Frank.
Here’s to the gay bar you took me to,"Frank makes a toast to the place that he and the guy (not the “good guy,” who actually set them up) went to in an effort to recall the experience without dwelling on the painfulness of the situation. Frank evidently had feelings that were not reciprocated:

I know you don’t need me right now
And to you it’s just a late night out

In an April 2019 cover story for Gayletter Magazine, Frank revealed that the gay bar he’s referencing in this line is Boxers, a small chain of LGBT sports bars with locations in NYC’s Hell’s Kitchen and Chelsea neighborhoods."
And you text nothing like you look,"Upon meeting for the first time, Frank is confronted with the dissimilarity between his date’s real-life appearance and the likely idealized version they shared prior to meeting in the flesh.

Continuing on a common theme throughout Endless and Blonde, Ocean uses this moment to highlight the difference between people’s real and virtual selves."
"I, first time I’d ever saw you","This line works to introduce  that Frank was speechless when he first met this person.  The fact that he starts the line one way, by saying “I” but then ends this thought and goes on to another is indicative of speechlessness or stuttering."
"I, here’s to the highlights when I was convinced
 That this was much more to you than some some night shit
 I know you don’t need me right now
 And to you, it’s just a late night out","This is the turning point in the date for Frank as he realizes that this man is different than he expected. It comes off as poignant as Frank seems disillusioned about this person after meeting him, and he realizes the date is likely not the start of a great love affair but just another typical night."
"Bitches, nigga, all the bitches in the neighborhood wanna fuck you, nigga
 They told me
 I used to fuck with all of ’em
 Yeah, I ain’t got bitches no more
 But now I don’t care about bitches like that, my nigga, that shit—
 Jasmine fucking wrecked my heart, I don’t even know how to feel about bi—","In this conversation between two guys, the first guy seems straight and not really interested in the other guy’s opinion—he just wants to hear himself talk and rant about how his heart has been broken.

The second guy, who “all the bitches in the neighborhood wanna fuck,” seems much more reserved, like Frank is. The relatively long pause he takes before saying “Yea I ain’t got bitches no more” indicates he’s picking his words carefully and feels uncomfortable in the situation. He might be gay, but doesn’t quite know how to tell his friend, or whoever it is he’s talking to.

So we’re left with this snippet of a conversation between two guys about how they are over girls, one of whom is over girls because they “fucking wrecked his heart”, the other is over girls because he was never truly into them."
Here’s when I realized you talk so much more than I do,"Frank is known for being a quiet person, and it’s at this lyric that he’s noticing that the difference between his quiet personality and the loud personality of the song’s subject might be the source of conflict

As an introvert even in public/social settings Frank is analyzing the person. He sees early on that the difference between them is too large for it to ever work."
"Can’t keep bein’ laid off
 Know you need the money if you gon’ survive","Frank is talking to himself here. He knows he needs money if he wants to continue his career as an artist.

He is his own boss and responsible for his progress, therefore, he “can’t keep being late” on himself when going to work every night."
"Signal comin’ in and out
 Hope you’re doin’ well, bruh
 Everybody needs you
 Everybody needs you","These couple of lyrics deal with the lack of communication between the two sides. It is made clear through previous lines that the strength of the relationship is consistently wavering, as he sings, “you are from my past life, hope you’re doing well bruh.”

The idea of a signal is similar to that of cell phone service, with the signal being the strength of communication between the two people.

Everybody may need her, however the lack of signal is preventing this. The idea of a séance is almost like they are trying to communicate with someone they have no connection to."
"Everybody needs you
 No, you can’t make everybody equal","Whoever Frank is talking about is busy and feels important, if not important in reality. They feel the anxiety of making everyone happy, giving everyone an equal share of their life. Frank says its impossible: “No you can’t make everybody equal.” Frank may be affirming this person’s character and personality by saying “everybody needs you” but this line evolves over the verse and it later sounds less like the affirmation found here and more like a pejorative coming from Frank as if Frank is a victim of this person’s anxiety and inability to prioritize people in their life."
"Breathe ’til I evaporated
 My whole body see through","Frank might be referencing a smoke session with the person from the previous lines. He hits the bong so much with this person that he starts to evaporate into clouds. In that way, his body becomes transparent like a haze.

“You don’t even got nobody being honest with you…” but Frank is saying, he’s made himself so vulnerable to this person, more so than all this family. As details of the relationship progress, we learn that soon they are only rolling marijuana as a cheap vacation. What was once a vulnerable honest relationship has turned into a cheap, easy escape. We can all relate to those relationships that have digressed from intimate to escape.

“Whole body see through” –
Can be in relation to his response of “nobody being honest with you”. He is transparent compared to these people, he is evaporated.

Also could be in reference to his enthusiasm for cars and how the next line “Transportation, handmade” supports that. The body to his car could be see through meaning you can see the internal specs such as the engine. A handmade car could include this feature."
"Round your city, round the clock","Frank is referring to someone who is seen as a leading figure, someone with power or that the city looks up to. This person or entity is needed to do something for someone at all hours of the day.

Perhaps this could be a possible ode to Frank himself. The social world ridiculed him for taking so long to release this album that maybe he felt pressured every hour of the day. Everywhere he turned someone was expecting him to produce."
"My every day shit, every night shit, every day shit
 (Every night shit, night shit, night shit, night shit)","Another social commentary on the monotony of life, Frank is talking about how the majority of people stick tightly to a schedule of working, sleeping, and doing it all over again until they die, not really happy, but at least they had food.

Alternatively, this could be referring to those who are struggling and need to work nights and days to put food on the table, and almost as if Frank Ocean has been in that situation himself.

This could be mentioning how Frank had been working in the studio every day in the night, working on, forming, scrapping, and shaping his album."
"The sun’s goin’ down
 Time to start your day, bruh","Many people start the day when the sun comes up, but not Ocean, tying into the song’s title—“Nights.” The contrast between day and night creates tension similar to another song on the album, “Nikes,” because the video version of the track creates conflict by featuring two competing voices.

Other tracks on Blonde like “Solo” also have this kind of binary opposition. In this track, Ocean contrasts his emotional lows to his high when he smokes. The clash between Ocean’s sexuality and the hip hop world comes through in these specific back and forth conflict themes in various tracks on the album."
"Every night shit, every day shit","Ocean closes out a tense and anxious verse by stating and restating that the troubles and inconveniences he thinks of: loved ones, life after death, shitty conversations and getting high are always on his mind, day or night.



The repetition, multi-tracked looped vocals and dragging “a”s and “i”s, further highlight that this truly is a revolving mindset that picks at Frank’s brain regularly.

For a song that instrumentally shifts several times and lyrically meditates on “new beginnings” and “nirvana”, the notion of repetition brings Frank’s more profound thoughts soberingly down to earth."
"New beginnings, ahh
 New beginnings, wake up, akh","‘Akh’ is a shortened term for ‘Akhi.’ The term had originally derived from Arabic, it means brother, however, it is used as a common slang. The word also has a religious connotation in Islam as it’s emanated from the religion’s holy book, the Qurʾān where it’s said that it teaches “the believers are but brothers.”

As Frank resumes to speak about new beginnings, it can possibly relate to the Egyptian meaning where it means that “the spirit of a deceased person conceived as gloriously transfigured so as to reflect the deeds of the person in life.”."
"Ain’t no bitch in my body, ah","This line might be a shoutout to a lyric from Earl Sweatshirt’s “DNA”:

Ain’t no bitch in my DNA

Frank finishes off the verse by iterating the fact that he’s got no fear in his body adding on the sentiment he’s nodding to throughout the verse."
So low that I can give a fuck about what is trending,"Andre, as part of OutKast, never followed trends. His withdrawal from hip-hop, although not total, has seen him release at most 1 or 2 guest verses a year, and his low profile and low output shows a disregard for trends and popularity. It clearly works, judging by the fervour surrounding each verse he releases."
"So low that when they throw pussy or pesos
 Don’t pay no attention to it","Andre’s low mood has robbed him of the ability to enjoy the typical allures of money and women. It’s not a new attitude; during T.I.’s “Sorry” he denounced his love for money, and during “Da Art of Storytellin' (Part 4)” he schooled a young girl about the value of a dollar when being asked to throw his money in the air at a club.

Why?
The world needs sun
The hood needs funds
There’s a war going on and half the battle is guns
How dare I throw it on the floor
When people are poor

On the same track, Andre details the deceptive nature of a woman who attempts to lure him to bed whilst openly conversing with her boyfriend in front of him. Andre looks down on this and shows her the door.

The Outkast reunion tours even made him feel like a sellout."
"Just saying it, we being real persons
 I hate that it’s like this, I feel for you, ant
 I don’t know what it’s like with a skirt on
 So pardon me if I am being insensitive
 But darling, this only worsens","Andre is just being honest. He’s criticizing women with fake body parts who demand “realness” from their men, and at the same time relating to their struggle. The “ant” from the beginning of the verse reappears, this time as the women he encounters. The misogyny in hip-hop culture can make them feel small and inconsequential, and he excuses his lines by pleading ignorance.

This may be a reaction to the criticism Outkast received during their reunion shows, specifically Andre himself who was accused by some of lewd acts on stage. He considers himself a feminist, but he’s also admitted to treating women poorly in the past.

 I’ve been guilty of it, too, in my earlier raps, and I know my mom raised me much better than what I’d been talking. But you do it because you wanna impress people around you, you wanna feel invincible, you wanna feel tough. And that’s a part of rap. You never wanna have any kind of weak links."
"So low my halo stay way low, it feels like it’s bent","Andre is regularly touted as one of the best rappers of all time. He argues his depression bends his “halo,” blocking him from enjoying or even believing what is written about him.

“So-lo” may also refer to his solo career, which is basically nonexistent outside of guest verses. He claims his rap halo is shared with OutKast partner Big Boi, and without him he feels like less of an artist.



It may also refer to the morality he felt he lacked in the previous lines. His inability to relate to women and their struggle makes him feel worse about himself, and his past lyrics."
"Ayy
 Ayy, so now I’m","“So-lo” is a homophone of “so low,” so Andre is both solo on this track (and his career) and “so low” he can peek under the skirt of an ant, whose size is about 1 millimetre.

“Low” is an adjective used to describe depression, something he’s battled before. He no longer feels “high,” to the extent that when he yells “Geronimo!""—an exclamation used when jumping from a great height—he can’t get through the entire word. He’s already so close to the ground he only has time to say ""eh.”"
"With astonishment while I’m on punishment
 Watchin’ the summer come close to an end","3K continues the kid analogy and may be indicating he’s coming out of hiatus.
 He’s amazed at what hip-hop is now while he’s been less active (he mentions ghost-writers in the next line) but now the summer is coming to an end so he’s returning to the game.

It’s possible this self-imposed exile is seen as some form of punishment, related to his materialistic youth alluded to earlier.

There have been reports that Andre is recording his first solo album, though nothing confirmed.

In a more literal sense, Blonde was released on August 20 2016 – close to the end of the summer."
"Tryna cut down on my spending
 Regardless of winning, instead of pretending","3 Stacks is cutting the pony off his Polo, attempting to avoid the consumerism that litters modern hip hop. He said he “felt like a sellout” during the 2014 OutKast reunion tours, despite the glowing reviews the duo received."
"So low that I can admit
 When I hear that another kid is shot by the popo
 It ain’t an event no more","Following the shooting of Trayvon Martin and the emergence of the Black Lives Matter movement, the American public and news media have become much more aware of police brutality against minorities in America.

The tragic deaths of Mike Brown, Jonathan Ferrell, John Crawford, Ezell Ford, Laquan McDonald, Akai Gurley, Tamir Rice, Eric Garner, Walter Scott, Freddie Gray, Sandra Bland, Samuel DuBose, Alton Sterling, and Philando Castile have been widely protested, debated and reports of these police killings have dominated the news cycle constantly.

Andre bitterly admits that these tragic killings are so frequent now that when he hears a kid has been shot by an officer it doesn’t shock him anymore, which is a sobering statement in itself.

During the 2014 OutKast reunion shows, Andre wore jumpsuits with a series of slogans centred around racism in America."
"And bending over backwards
 Over half of these hoes had work done
 Sayin’ they want something real from a man","Andre comments on the culture of surgical enhancement that has emerged in American hip-hop culture. These women require a “real” man, who doesn’t lie or cheat, but they lie about whether their appearance is natural or artificial.

This line also anticipates the ghost-writing criticism below: half of the the rap game, like half of current hoes, have “had work done”.

3 Stacks hasn’t been chasing women for a while, dating Dominique Maldanado with rumours that they may even be engaged surfacing."
"I’m hummin’ and whistlin’ to those not deserving
 I’ve stumbled and lived every word, was I working just way too hard?","There are lots of catchy tracks out now that still capture everyone’s attention, despite having little substance and containing the wrong ingredients, even being written by others.

As half of rap duo Outkast, and blurring the lines between funk, hip hop and R&B on The Love Below, there’s little debate he was incredibly popular and successful. But artists like Drake are slaying Billboard records while allegedly using ghostwriters. Andre is sarcastically wondering if he was just wasting his time writing his deep original lyrics when he could have had someone else write them.

“Humming and whistling” implies he was enjoying the music without attributing the credit to who was really deserving – the writers of the songs."
Those are my niggas for life,"Here, Frank is most likely referring to the Los Angeles Hip-hop collective Odd Future in which he was once apart of. The group consisted of close friends such as Syd , Earl Sweatshirt and Tyler, the Creator who Frank later mentions in the last song Futura Free. The group shared a lot of memories and moments with each other in their early youth and here franks makes the point that they would always be his friends for life."
"Now, to the edge, I’ll race
 To the end, I’ll make it","Frank is stating that he will “make it” to the end and “race” to the edge, showing his determination to not give up in his feat, whatever that feat may be.

Judging by the context of the rest of Blonde—and “Pretty Sweet,” specifically—it seems as though he is saying that he won’t let the fear of death or those who want to hold him back stop him from finding success."
"Head bang with my faux friends
 We pour a taste out for the dead","To “headbang” is to shake one’s head up and down with great force to the beat of music, usually rock or heavy metal.

“Faux” means fake. Frank’s friends are not true to him and will readily betray him.

Nowadays, it’s common for young adults to start hanging out with the wrong crowd; people that claim to be “friends” but have ulterior motives. Often, troubled youth will get themselves involved with drugs or heavy alcohol consumption. Frank and his friends are partying or “headbanging” and “pouring out another taste” of liqour. They are oblivious to the consequences of alcohol abuse—death potentially being one of them.

Additionally, Frank may be referring to libation, the practice of spilling alcohol onto the ground to commemorate the life of a deceased friend.

With these conditions—a gathering of friends with some out for betrayal and a ceremonial taste of wine—it could be seen as a contemporary version of the Last Supper; Frank likening his friends to that of a Judas Iscariot, who infamously sold out Jesus for silver pieces."
"Mothers of us, be kind
 To the fathers on whom we rely
 Fathers of us, be kind
 To the mothers on whom we rely
 Ah-hah, ah-hah
 Ah-hah, ah-hah
 Ah-hah, ah-hah
 Ah-hah, ah-hah
 Ah-hah","This adds onto the themes of duality between males and females through Blonde. The juxtaposition of “mothers and fathers” reflect how parents should be kind to each other which in turn will reflect in how their children treat other people too.

This metaphorical imagery of a family may connect to a line found in “Voodoo”:

Our daughters and our sons
Are just candles in the sun"
"What it means to be alive on this side
 (Said you wanna kill me now)
 On this side
 (Don’t let me down)
 On this side
 (Down, down)
 Fuck the other side
 I’m on this side
 I’m on this side
 I’m on this side","This line is a complex double entendre. On this side has two meanings.  The first meaning is he is out of the closet, since he announced that he is bisexual, he is literally saying fuck the other side, fuck being in the closet. The other meaning is that he is on this side of the line that divides life and death, and he is saying fuck the other side, I’m alive right now and I’m not concerned with death.

This could be a response to Christians that tell gay people they will go to Hell when they die.

“This Side” also is a reference to the bifurcated nature of Blonde. This is the first song (besides the interlude “Solo (Reprise)”) after Nights, a song that is famous for its beat switch that perfectly divides the album at the halfway point. This being the first fully developed song after Nights, Frank takes the opportunity to point out that we’re on a different “side” of the album. The second half of Blonde is very bleak and atmospheric, which starts to be reflected in this track and is further developed as the album progresses."
"We know you’re sugar
 We know you’re sweet like a sucker
 Pretty sweet
 Pretty sweet","In the south, where Frank was raised, (New Orleans, to be exact) calling someone sweet, or saying they have sugar in their step is an indirect way of calling them gay.

The line “sweet like a sucka” is a double-entendre, and could mean sweet like a lollipop, which some refer to as a sucker, or sucker as in someone who falls for tricks. The line could be interpreted as complimentary, or condescending, depending on the interpretation."
"This is the blood, the body, the life right now","A reference to the Christian rite of Communion, where bread and wine are blessed and distributed to the congregation during Mass. The tradition usually involves a eucharistic liturgy reenacting the Last Supper, when Jesus ate with his disciples the night before being arrested and put to death.

In Catholicism, it is believed that during this ritual, the bread and wine actually transfigure into the body and blood of Jesus.

Throughout the song, Frank conflates the religious dogma of Christianity with the secular comfort of communing with friends and family."
"I said, ”Come on, you’re crazy, because like, yeah
 I’m in front of you, I’m every day, here in your house”",SebastiAn doesn’t understand the need to accept this girl on Facebook when they’ve been dating for 3 years. He is under the impression that their relationship is serious enough and clear to the real world that it doesn’t need to be virtually represented.
"No, I was just telling that I, I got this, this girl before
 And I was together since three years
 And uh, I was not even cheating her or what","He had been dating this woman for 3 whole years and had been faithful to her the entire time.
“Or what” makes it seems like he is trying to express how senseless this girl’s reaction was. She didn’t really had a good reason to react the way she did since he didn’t do anything bad."
"She starting to be crazy
 She thought that because I didn’t accept her, she thought I was cheating
 She told me like, uh, “It’s, it’s over, I can’t believe you”","Social media is a major part of many people’s lives, but many people would rather see someone face to face than use technology to communicate in order for their lives not to be taken over by it, as stated in the previous annotation.

Becoming suspicious of the man not adding her in Facebook, she begins to act crazy. This girl believes he is hiding something from her on his account, and she eventually comes to the conclusion that he won’t add her because he is cheating on her. Even though this man isn’t cheating on her and won’t add her because he doesn’t want their lives and relationship to be reliant on Facebook, the girl decides to call it quits with him anyway."
"And Facebook arrived and, uh
 She wanted me to accept her on Facebook
 And I don’t want it, because I was, like, in front of her
 In front of her, and she told me, like, “Accept me on Facebook”
 It was virtual, means no sense
 So I say, “I’m in front of you, I don’t need to accept you on Facebook”","As time goes on, technology has progressively become a more prominent part of our daily lives. Though it is meant to accommodate us, technology has actually become counter-intuitive in the sense that it’s starting to take away from us living in the real world, whether it’s through electronic devices, social media, video games, etc.

In this example, SebastiAn’s girl insists that he add her on Facebook, even though they are literally right in front of each other and can interact in person. This speaks to the fact that people have become obsessed with living out their lives through technology and less inclined to be present in real life.

A similar sentiment is depicted on Frank’s track “Device Control” from his visual album, Endless."
Let my mind run underneath warm jets,"“warm jets” are most likely referring to a shower, where Frank goes to clear his head. The shower is seen to many as a place of peace and comfort where individuals go to relax and let their thoughts wander.

This line could be a referencing Blonde’s album cover which depicts a wet, Frank, with his hand over his face in a contemplative fashion.



This line directly reflects the song’s introspective nature in which Frank speaks on a past relationship, the time that has passed between his past lover, and the amount of time they may or may not have left together. Similar ideas and themes is brought up again in the following track, “White Ferrari”, as well.

Interestingly, Frank has referenced showers before on his previous album in a much more sexualized manner."
"Why am I preaching
 To this choir, to this atheist?",His lover is not going to hear him or take him back. His words are in vain like preaching to the choir. Frank takes this metaphor further as he preaches to someone who doesn’t even believe in what he has to say.
"Just like mine, versions of these belong to you
 After a while, they’re keeping me close to you","Frank is holding onto memories of his lover, who is the only other person with the same memories of them together.

Frank comes to the sobering realization that even though the relationship is at its end, the memories of their love continues to keep them close."
"[Outro: Stevie Wonder]
 Just like me, they long to be close to you","These lines come from the first verse of Stevie Wonder’s “Talkbox Medley (Close To You / Never Can Say)”:

Why do birds suddenly appear?
Every time that you are near, baby?
Just like me, they long to be
Close to you

Circling birds around a person’s head is the cartoon representation of “seeing stars” or being stunned (usually because of head trauma).



Although Frank wasn’t devastated from his break-up, he could have been stunned that it happened. Frank is also expressing that he wishes to still be with this person despite the fact that they left him so coldly.

This song is a cover by Frank of Stevie’s cover of the song “(They Long To Be) Close To You” by the Carpenters.

https://youtu.be/tT86AoSGEL8"
[Verse: Frank Ocean],"In an interview with Zane Lowe for Beats 1 radio, Chance The Rapper stated that Frank Ocean had Francis and the Lights show him the Prismizer technology Francis developed to use on Blonde. This song includes vocals that have been modified using the Prismizer.

https://twitter.com/chancetherapper/status/767705117571313664

The decision to do so was most likely to pay homage to the medley Stevie Wonder did on The David Frost Show using a Vocoder



Wonder using a Vocoder"
"I’ll be honest, I wasn’t devastated
 But you could’ve held my hand through this, baby","Even though he and his lover had broken up, Frank wasn’t crushed. Sad? Yes, but not devastated. Despite this, he felt lonely and his lover didn’t bother to hold his hand or tell him it’ll be okay. They just simply ended their relationship out of the blue, and Frank is left gripping what’s left of his memories of their relationship."
"In this life (Life), in this life (Life)","Frank waxes poetic on this bridge, exercising the common idiom mind over matter, which refers to discarding of materialistic things in favor of a freer state of mind. He champions this ideology, claiming it works almost as effectively as magic. He himself lives in this train of thought – as a result, he’s able to perform with such a high level of success.

He comes to a fleeting end in the bridge with an existential thought: he suggests that life, no matter how incredible, passes by in the blink of the eye. As a conclusive statement, it’s extremely powerful: Ocean’s telling the listener that they should let go of materialism because life happens too quickly for us to hold onto physical forms of wealth and success.



The line stands in opposition to “Pink Matter,” where Frank champions “pleasure over matter”. His reprioritization of “mind of matter” now shows us how he considers a metaphysical connection far more potent than a physical one."
"Can’t take what’s been given (No way)
 But we’re so okay here, we’re doing fine
 Primal and naked","Frank finds the best way of keeping the relationship alive is taking things back to basics. Primal refers to the fundamental actions of humans, which have always been necessary, in this case, sex. And even when other parts of the relationship fall apart, the primal always remains, which gives Frank hope that they’re ‘doing fine."
"One too many years
 Some tattooed eyelids on a facelift
 (Thought you might want to know now)","Many times, when someone gets a facelift, his or her eyes will appear to be perpetually open, and thus his or her eyelids will never be seen. If you get tattoos on your eyelids after a facelift, it is likely no one will see those tattoos.

This situation is analogous to the ephemeral nature of some memories. Some memories are permanently etched in like tattoos, but are never accessed by the person (also known as retrieval failure) much like the tattoos on eyelids.

It’s also imperative to realize that facelifts are procedures to erase age and time. Similarly, the erosion and malleability of memory are consistent topics on Blond."
"Basic takes its toll on me, ’ventually, ’ventually, yes
 Ahh, on me ’ventually, ’ventually, yes","Someone is “basic” when they follow all the trends without showing a style of their own. Frank has been described as a refusenik before, and has set his own artistic direction, opting not to follow pre-established trends.

In addition, one of the reasons he ended the described relationship is because he wanted to move on or do more with his life, while his partner wasn’t moving as fast."
"White Ferrari, had a good time
 (Sweet sixteen, how was I supposed to know anything?)","The White Ferrari symbolizes the purity and innocence of the relationship. His thoughts on the relationship at the moment end with it merely being a “good time.”

The sincerity of their love is represented by the Ferrari—something that is both rare, desirable,  extremely valuable, and precious."
I let you out at Central,"Central may refer to Central City, a neighborhood in Ocean’s hometown of New Orleans. The neighborhood is a historic center of African American culture."
"I didn’t care to state the plain
 Kept my mouth closed
 We’re both so familiar","Frank didn’t bother to tell the person he is dropping off that he loves them; it is “plain” to see and obvious, so he lets them leave in silence.

“We’re both so familiar” could reference how comfortable they are with each other and how familiar they are with this routine."
"You dream of walls that hold us in prison
 It’s just a skull, least that’s what they call it
 And we’re free to roam","There’s a lot of different ideas about what exactly Frank’s alluding to when he mentions “prison.” On one hand, it might be addressing the insecurity of his partner: his significant other suffers from a great deal of doubt. Their relationship’s unable to move to another level while his partner continues to think without complete faith, thus entrapping Frank.

At the same time, Ocean is also turning prison into a physical representation for our skulls. Heads physically contain the mind, where thoughts roam, and thus ideas are physiologically imprisoned by the skull.

In the following line, Frank mentions that freedom of movement, as if the prison of the skull does not exist. This concept is exactly what he is trying to convey to his lover; skulls are just bones, and in reality our thoughts are free to roam regardless of the physical boundaries. They ought to let go and start thinking openly."
"You’re tired of movin’, your body’s achin’
 We could vacay, there’s places to go
 Clearly, this isn’t all that there is","The disagreements between Frank and the song’s subject mentioned in the lines above these continue, this time regarding the idea of going out and seeing the world. Frank wants to escape and explore, while the other person is not so enthused about the idea.

This line is also interesting because it totally contradicts the sentiment that Frank expressed (albeit mockingly) in “Sweet Life” on Channel Orange"
"I care for you still and I will forever
 That was my part of the deal, honest
 We got so familiar","Similar to a car, Frank assures this person that he has and will continue to love and care for them, upholding  his part of the deal. From the iconic Acura Integra that was focused on in “Acura Integurl” to his Tumblr post confessing his love for this BMW E30, Frank has shown his own love for cars. It appears he’s doing this here as well, using the White Ferrari as a metaphor for the love and experienced shared with an unnamed individual.

Upon the release of Blond, Frank once again took to Tumblr to express his feelings. He asks “How much of my life has happened in a car,” among other things. He then describes his life and it’s changes with various cars being present. These cars include a  GT3 RS, “Sinewy Crossover SUV,” and a Mclaren F1 worth $16 million dollars. The title “Blonde” itself is derived from a picture of a blonde-haired girl strapped into the seat of a car.

As far as people go, Frank assured his first love that while they weren’t together, he still loved him."
